index,pm10,so2,co,o3,no2,categori
0,43,58,29,35,65,SEDANG
1,58,86,38,64,80,SEDANG
2,64,93,25,62,86,SEDANG
3,50,67,24,31,77,SEDANG
4,59,89,24,35,77,SEDANG
5,73,81,29,66,85,SEDANG
6,36,52,22,55,72,SEDANG
7,38,68,26,51,71,SEDANG
8,60,77,34,42,80,SEDANG
9,24,39,16,38,59,SEDANG
10,51,72,17,57,68,SEDANG
11,29,58,20,44,77,SEDANG
12,36,47,17,32,68,SEDANG
13,36,78,20,38,65,SEDANG
14,52,82,20,56,65,SEDANG
15,70,92,19,38,67,SEDANG
16,58,86,22,41,93,SEDANG
17,51,64,21,37,78,SEDANG
18,42,56,19,35,58,SEDANG
19,54,45,17,33,72,SEDANG
20,63,51,21,38,67,SEDANG
21,84,112,32,54,67,TIDAK SEHAT
22,89,126,47,61,104,TIDAK SEHAT
23,64,90,19,31,75,SEDANG
24,62,95,29,67,134,TIDAK SEHAT
25,57,79,34,39,71,SEDANG
26,33,37,25,20,63,SEDANG
27,28,49,25,28,53,SEDANG
28,30,53,26,36,65,SEDANG
29,46,39,25,32,64,SEDANG
30,41,55,24,29,68,SEDANG
0,73,38,26,46,34,TIDAK SEHAT
1,53,40,14,55,25,SEDANG
2,32,40,11,42,19,SEDANG
3,36,40,14,47,24,SEDANG
4,29,40,14,45,35,SEDANG
5,34,40,8,57,15,SEDANG
6,33,40,10,57,13,SEDANG
7,26,39,10,54,17,SEDANG
8,33,40,13,47,22,SEDANG
9,50,40,13,49,16,SEDANG
10,38,43,13,35,17,SEDANG
11,63,43,16,33,42,SEDANG
12,59,40,12,40,16,SEDANG
13,55,40,11,42,19,SEDANG
14,42,40,13,37,25,SEDANG
15,43,40,11,42,26,SEDANG
16,46,40,25,41,37,SEDANG
17,53,44,13,41,29,SEDANG
18,32,42,20,41,33,SEDANG
19,45,39,13,53,20,SEDANG
20,36,39,10,48,17,SEDANG
21,68,42,22,41,40,TIDAK SEHAT
22,66,40,16,54,23,SEDANG
23,42,40,10,33,16,SEDANG
24,31,43,12,45,23,SEDANG
25,48,43,13,40,20,SEDANG
26,59,44,15,50,31,SEDANG
27,68,40,18,60,18,TIDAK SEHAT
0,62,45,13,38,18,SEDANG
1,55,50,17,53,28,SEDANG
2,59,46,21,50,35,SEDANG
3,62,45,19,49,31,TIDAK SEHAT
4,65,54,16,59,30,SEDANG
5,71,59,25,52,42,SEDANG
6,64,41,23,51,31,TIDAK SEHAT
7,58,40,16,41,22,SEDANG
8,51,41,15,33,22,SEDANG
9,60,42,21,42,39,SEDANG
10,38,39,9,43,21,SEDANG
11,66,41,19,45,25,SEDANG
12,53,41,13,41,25,SEDANG
13,52,41,16,37,21,SEDANG
14,55,42,18,49,34,SEDANG
15,67,46,13,57,36,TIDAK SEHAT
16,78,55,20,53,45,TIDAK SEHAT
17,78,45,16,74,40,TIDAK SEHAT
18,73,42,14,59,35,SEDANG
19,65,44,16,56,31,TIDAK SEHAT
20,81,41,16,51,17,TIDAK SEHAT
21,62,41,15,43,18,SEDANG
22,51,41,11,44,16,SEDANG
23,43,40,11,37,15,SEDANG
24,38,41,9,41,17,SEDANG
25,57,42,19,53,28,SEDANG
26,62,49,13,63,33,SEDANG
27,57,43,15,71,31,SEDANG
28,65,48,19,67,37,SEDANG
29,59,42,15,55,30,SEDANG
30,56,43,18,48,25,SEDANG
0,26,22,11,13,19,BAIK
1,41,27,11,17,19,SEDANG
2,25,20,8,18,22,BAIK
3,57,21,23,14,33,SEDANG
4,52,22,15,18,27,SEDANG
5,33,27,10,14,18,SEDANG
6,30,25,11,13,19,BAIK
7,38,33,12,13,22,SEDANG
8,54,26,14,15,28,SEDANG
9,48,23,13,17,29,SEDANG
10,45,31,12,25,31,SEDANG
11,55,26,20,15,31,SEDANG
12,55,23,18,21,40,SEDANG
13,51,27,15,25,32,SEDANG
14,56,24,24,21,40,SEDANG
15,55,24,20,16,42,SEDANG
16,65,24,19,19,41,TIDAK SEHAT
17,57,24,11,25,26,SEDANG
18,63,25,14,26,30,SEDANG
19,56,25,12,21,30,SEDANG
20,63,24,19,14,37,SEDANG
21,54,25,14,23,40,SEDANG
22,66,25,16,21,42,SEDANG
23,66,23,18,30,40,SEDANG
24,63,24,15,17,36,SEDANG
25,56,26,10,22,24,SEDANG
26,62,26,12,23,28,SEDANG
27,54,21,15,21,34,SEDANG
28,57,23,17,18,38,SEDANG
29,61,23,18,20,42,SEDANG
30,22,28,9,43,10,BAIK
31,39,34,11,42,13,SEDANG
32,23,33,9,57,10,SEDANG
33,63,40,17,49,23,SEDANG
34,54,30,13,59,18,SEDANG
35,43,32,10,36,15,SEDANG
36,30,33,9,43,8,SEDANG
37,39,34,10,40,14,SEDANG
38,53,32,10,49,25,SEDANG
39,44,34,9,50,19,SEDANG
40,54,42,12,60,22,SEDANG
41,69,51,20,54,23,SEDANG
42,70,63,14,64,21,SEDANG
43,65,55,16,65,22,SEDANG
44,67,55,21,50,34,SEDANG
45,69,55,17,50,28,SEDANG
50,76,56,16,50,22,TIDAK SEHAT
51,63,52,11,60,14,SEDANG
52,75,51,15,65,20,TIDAK SEHAT
53,88,61,17,73,25,TIDAK SEHAT
54,74,55,15,58,20,TIDAK SEHAT
55,64,52,10,59,14,SEDANG
56,74,51,11,65,17,SEDANG
57,61,51,13,56,18,SEDANG
58,69,60,15,44,26,SEDANG
59,71,57,14,55,21,SEDANG
60,28,26,5,35,7,SEDANG
61,51,33,8,37,10,SEDANG
65,35,32,3,34,5,SEDANG
74,48,26,16,33,19,SEDANG
75,52,27,14,32,22,SEDANG
79,50,19,7,32,14,SEDANG
80,58,19,13,27,17,SEDANG
81,57,20,8,39,14,SEDANG
82,70,20,11,32,16,SEDANG
83,57,19,9,41,15,SEDANG
84,59,19,13,27,19,SEDANG
85,57,19,10,26,16,SEDANG
86,64,13,9,34,16,TIDAK SEHAT
87,51,11,9,32,16,SEDANG
88,39,10,12,26,17,BAIK
90,22,41,7,18,12,BAIK
91,37,44,11,18,12,SEDANG
92,39,42,9,22,14,SEDANG
93,64,43,26,23,20,TIDAK SEHAT
94,52,43,14,23,16,SEDANG
95,30,43,6,15,10,BAIK
96,22,42,5,16,8,BAIK
97,24,48,8,14,10,SEDANG
98,42,43,8,21,13,SEDANG
99,61,43,15,27,21,SEDANG
100,66,47,18,35,24,TIDAK SEHAT
101,57,43,18,27,17,SEDANG
102,52,44,13,31,20,SEDANG
103,52,42,13,31,14,SEDANG
104,55,42,27,25,27,SEDANG
105,61,42,17,21,20,SEDANG
106,63,43,20,27,19,TIDAK SEHAT
